S 18eb48,4 hit
S 18eb4c,4 hit
S 18eb50,4 hit
S 18eb54,4 hit
S 18eb58,4 hit
S 18eb5c,4 hit
S 18eb60,4 miss eviction
S 18eb64,4 hit
S 18eb68,4 hit
S 18eb6c,4 hit
S 18eb70,4 hit
S 18eb74,4 hit
S 18eb78,4 hit
S 18eb7c,4 hit
S 18eb80,4 miss eviction
S 18eb84,4 hit
S 18eb88,4 hit
S 18eb8c,4 hit
S 18eb90,4 hit
S 18eb94,4 hit
S 18eb98,4 hit
S 18eb9c,4 hit
S 18eba0,4 miss eviction
S 18eba4,4 hit
S 18eba8,4 hit
S 18ebac,4 hit
S 18ebb0,4 hit
S 18ebb4,4 hit
S 18ebb8,4 hit
S 18ebbc,4 hit
S 18ebc0,4 miss eviction
S 18ebc4,4 hit
S 18ebc8,4 hit
S 18ebcc,4 hit
S 18ebd0,4 hit
S 18ebd4,4 hit
S 18ebd8,4 hit
S 18ebdc,4 hit
S 18ebe0,4 miss eviction
S 18ebe4,4 hit
S 18ebe8,4 hit
S 18ebec,4 hit
S 18ebf0,4 hit
S 18ebf4,4 hit
S 18ebf8,4 hit
S 18ebfc,4 hit
S 18ec00,4 miss eviction
S 18ec04,4 hit
S 18ec08,4 hit
S 18ec0c,4 hit
S 18ec10,4 hit
S 18ec14,4 hit
S 18ec18,4 hit
S 18ec1c,4 hit
S 18ec20,4 miss eviction
S 18ec24,4 hit
S 18ec28,4 hit
S 18ec2c,4 hit
S 18ec30,4 hit
S 18ec34,4 hit
S 18ec38,4 hit
S 18ec3c,4 hit
S 18ec40,4 miss eviction
S 18ec44,4 hit
S 18ec48,4 hit
S 18ec4c,4 hit
S 18ec50,4 hit
S 18ec54,4 hit
S 18ec58,4 hit
S 18ec5c,4 hit
S 18ec60,4 miss eviction
S 18ec64,4 hit
S 18ec68,4 hit
S 18ec6c,4 hit
S 18ec70,4 hit
S 18ec74,4 hit
S 18ec78,4 hit
S 18ec7c,4 hit
S 18ec80,4 miss eviction
S 18ec84,4 hit
S 18ec88,4 hit
S 18ec8c,4 hit
S 18ec90,4 hit
S 18ec94,4 hit
S 18ec98,4 hit
S 18ec9c,4 hit
S 18eca0,4 miss eviction
S 18eca4,4 hit
S 18eca8,4 hit
S 18ecac,4 hit
S 18ecb0,4 hit
S 18ecb4,4 hit
S 18ecb8,4 hit
S 18ecbc,4 hit
S 18ecc0,4 miss eviction
S 18ecc4,4 hit
S 18ecc8,4 hit
S 18eccc,4 hit
S 18ecd0,4 hit
S 18ecd4,4 hit
S 18ecd8,4 hit
S 18ecdc,4 hit
S 18ece0,4 miss eviction
S 18ece4,4 hit
S 18ece8,4 hit
S 18ecec,4 hit
S 18ecf0,4 hit
S 18ecf4,4 hit
S 18ecf8,4 hit
S 18ecfc,4 hit
S 18ed00,4 miss eviction
S 18ed04,4 hit
S 18ed08,4 hit
